stn_th,stn_en,km,403,407,401,303,409,311,111,7,201,3,209,211,109,207,301,317,9,313,13,107,105,51,4,108,52,14,376,10,314,302,318,208,304,212,202,106,112,8,210,102,402,408,410
กรุงเทพ,Bangkok,0,-,-,-,4:20,-,4:40,7:00,8:30,9:25,10:50,11:20,12:55,13:45,14:05,16:30,17:25,18:10,18:20,19:35,20:10,21:00,22:00,4:00,5:10,5:25,6:15,-,6:50,7:30,8:15,9:05,10:20,10:35,12:10,14:05,14:40,18:00,19:25,20:35,21:10,-,-,-
ยมราช ,Yommaraj,2.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16:37,17:29,-,18:26,-,-,-,-,-,-,-,-,-,-,7:21,8:04,8:57,-,-,-,-,-,-,-,-,-,-,-,-
จิตรลดา,Chit Lada,3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
โรงพยาบาลรามาธิบดี,Ramathibodhi Hospital,3.46,-,-,-,-,-,-,-,-,-,-,-,13:04,-,14:16,16:41,17:36,-,18:31,-,-,-,-,-,-,-,-,6:36,-,7:15,7:57,8:50,-,-,-,-,-,-,-,-,-,-,-,-
สามเสน,Sam Sen,4.8,-,-,-,4:30,-,-,7:13,8:40,9:37,11:01,11:31,13:07,13:58,14:19,16:43,17:38,18:23,18:35,19:48,20:23,21:10,22:13,3:44,4:54,5:07,5:56,6:33,6:35,7:11,7:54,8:45,10:04,10:15,11:53,13:49,14:23,17:43,19:13,20:22,20:48,-,-,-
ประดิพัทธ์,Pradipat,6.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ชุมทางบางซื่อ,Bang Sue Junction,7.47,-,-,-,4:35,-,-,7:21,8:48,9:46,11:11,11:40,13:16,14:06,14:26,16:51,17:45,18:31,18:43,19:56,20:31,21:15,22:22,3:35,4:44,4:58,5:46,6:23,6:25,7:02,7:44,8:34,9:54,10:05,11:44,13:40,14:15,17:33,19:03,20:14,20:40,-,-,-
นิคมรถไฟ กม.11,Nikhom Rotfai Khomo 11,11.01,-,-,-,4:41,-,-,7:27,-,10:08,11:18,11:46,13:23,14:13,14:33,16:59,17:50,-,18:50,-,20:39,21:21,-,-,-,4:51,-,6:16,-,6:55,7:37,8:27,9:48,9:59,11:39,13:34,14:09,17:26,-,20:08,20:33,-,-,-
บางเขน,Bang Khen,13,-,-,-,4:46,-,-,7:33,8:59,10:14,11:24,11:52,13:30,14:19,14:40,17:04,17:56,18:43,18:55,20:07,20:44,21:26,22:34,3:24,4:31,4:45,5:35,6:10,6:14,6:49,7:32,8:19,9:41,9:55,11:32,13:27,14:04,17:19,18:53,20:03,20:27,-,-,-
ทุ่งสองห้อง,Thung Song Hong,14.81,-,-,-,-,-,-,-,-,-,-,11:55,-,-,14:45,17:09,18:00,-,19:00,-,-,-,-,-,-,-,-,6:04,-,6:44,7:27,8:14,-,-,-,-,-,-,-,-,-,-,-,-
หลักสี่,Lak Si,17.57,-,-,-,4:53,-,-,7:41,9:06,10:22,11:31,12:01,13:37,14:26,14:51,17:14,18:05,18:49,19:05,20:14,20:52,21:33,22:41,3:17,4:21,4:37,5:26,5:58,6:05,6:39,7:22,8:08,9:31,9:48,11:25,13:19,13:58,17:10,18:46,19:55,20:20,-,-,-
การเคหะ กม.19,Kan Kheha Khomo 19,19.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:18,18:09,-,19:09,-,-,-,-,-,-,-,-,5:53,-,6:35,7:18,8:04,-,-,-,-,-,-,-,-,-,-,-,-
ตลาดใหม่ดอนเมือง,Talatmai Don Mueang,21.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5:48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ดอนเมือง,Don Mueang,22.21,-,-,-,4:59,-,-,7:48,9:12,10:29,11:38,12:07,13:44,14:33,14:58,17:23,18:15,18:55,19:15,20:21,20:59,21:40,22:48,3:08,4:13,4:29,5:16,5:45,5:56,6:29,7:12,7:59,9:23,9:42,11:18,13:13,13:51,17:02,18:38,19:48,20:12,-,-,-
รังสิต,Rangsit,29.75,-,-,-,5:08,-,5:25,7:57,9:20,10:40,11:47,12:18,13:53,14:42,15:09,17:36,18:27,19:06,19:28,20:31,21:08,21:49,22:58,3:01,4:02,4:19,5:06,5:35,5:45,6:16,6:57,7:49,9:12,9:32,11:08,13:02,13:42,16:50,18:30,19:37,20:00,-,-,-
คลองหนึ่ง,Khlong Nueng,33.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:42,18:33,-,19:33,-,-,-,-,-,-,-,-,-,-,6:11,6:52,-,-,9:28,-,-,-,-,-,-,-,-,-,-
เชียงราก,Chiang Rak,37.47,-,-,-,5:15,-,-,8:05,-,10:48,-,12:26,-,-,15:17,17:48,18:38,-,19:38,-,-,-,-,-,-,-,-,-,-,6:06,6:46,7:42,9:04,-,11:01,12:54,-,16:42,-,19:29,-,-,-,-
มหาวิทยาลัยธรรมศาสตร์,Thammasat University,40.19,-,-,-,-,-,-,-,-,10.52,-,12:30,-,-,15:22,17:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7:39,8:59,-,-,12:49,-,-,-,19:24,-,-,-,-
นวนคร,Nava Nakhon,44.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:56,-,-,19:46,-,-,-,-,-,-,-,-,-,-,5:59,6:38,-,-,-,-,-,-,-,-,19:19,-,-,-,-
เชียงรากน้อย,Chiang Rak Noi,46.01,-,-,-,5:22,-,-,-,-,10:59,-,12:37,-,-,15:28,17:58,18:47,-,19:50,-,-,-,-,-,-,-,-,-,-,5:55,6:36,7:33,8:52,-,10:52,12:42,-,-,-,19:15,-,-,-,-
